"","X","subjectID","block_nr","trial_nr","grid","animal_opened","selected_choice","animal","reward","average_reward","time_elapsed","rt","type","answer","rewarded","trial_nr_c","block_nr_c","prev_reward","distance_prev","distance","new_click","HV_click","logtrial","logdistance","logdistance_prev","loground","prev_reward_c","rres"
"1",58,"yedbsv8m",0,0,11,"camel",199,"horse",20,28.5,209189,3399,"sell","NULL",TRUE,-10,-14.5,37,3.8543,3.8543,TRUE,FALSE,-2.70829214783185,0.686126612605418,0.686126612605418,-2.97625007343814,-0.741098773935981,6.56351442233235
"2",59,"yedbsv8m",0,1,11,"camel",137,"elephant",53,36.666666666667,211756,2565,"sell","NULL",TRUE,-9,-14.5,20,5.8926,3.7165,TRUE,FALSE,-1.8395828985578,0.673619838774741,0.838383075703911,-2.97625007343814,-1.86597433453209,-10.4364855776676
"3",60,"yedbsv8m",0,2,11,"camel",163,"giraffe",59,42.25,216747,4988,"sell","NULL",TRUE,-8,-14.5,53,2.4254,2.4254,TRUE,FALSE,-1.33142056370285,0.534711293390327,0.534711293390327,-2.97625007343814,0.31760763603683,22.5635144223324
"4",61,"yedbsv8m",0,3,11,"camel",455,"zebra",50,43.8,226894,10146,"sell","NULL",TRUE,-7,-14.5,59,2.4356,2.4356,TRUE,FALSE,-0.97087364928375,0.536002594069223,0.536002594069223,-2.97625007343814,0.714622539776634,28.5635144223324
"5",62,"yedbsv8m",0,4,11,"camel",240,"lion",44,43.833333333333,228715,1819,"sell","NULL",TRUE,-6,-14.5,50,2.1369,2.9354,TRUE,FALSE,-0.691211735653924,0.594988881285679,0.496500674215623,-2.97625007343814,0.119100184166928,19.5635144223324
"6",63,"yedbsv8m",0,5,11,"camel",195,"hippopotamus",59,46,233114,4398,"sell","NULL",TRUE,-5,-14.5,44,2.9943,1.5764,TRUE,FALSE,-0.462711314428804,0.411013290483874,0.601440680327288,-2.97625007343814,-0.277914719572876,13.5635144223324
"7",64,"yedbsv8m",0,6,11,"camel",351,"rhino",73,49.375,234445,1329,"sell","NULL",TRUE,-4,-14.5,59,4.254,3.8857,TRUE,FALSE,-0.26951696104538,0.688926796173115,0.720490068450051,-2.97625007343814,0.714622539776634,28.5635144223324
"8",65,"yedbsv8m",0,7,11,"camel",446,"wildebeest",61,50.666666666667,241344,6897,"sell","NULL",TRUE,-3,-14.5,73,3.1327,3.1327,TRUE,FALSE,-0.1021644000097,0.61623388022161,0.61623388022161,-2.97625007343814,1.64099064850284,42.5635144223323
"9",66,"yedbsv8m",0,8,11,"camel",11,"antelope",58,51.4,243929,2583,"sell","NULL",TRUE,-2,-14.5,61,2.736,3.7269,TRUE,FALSE,0.0454510204261431,0.674576414677026,0.572406867558056,-2.97625007343814,0.846960841023236,30.5635144223324
"10",67,"yedbsv8m",0,9,11,"camel",157,"gazelle",54,51.636363636364,262958,19028,"sell","NULL",TRUE,-1,-14.5,58,3.8387,4.1251,TRUE,FALSE,0.177497513620126,0.709702343683791,0.684728696631576,-2.97625007343814,0.648453389153334,27.5635144223324
"11",68,"yedbsv8m",0,10,11,"camel",203,"hyena",59,52.25,265146,2186,"sell","NULL",TRUE,0,-14.5,54,2.0796,4.097,TRUE,FALSE,0.296948096509469,0.707314633588708,0.488494310956901,-2.97625007343814,0.383776786660131,23.5635144223324
"12",69,"yedbsv8m",0,11,11,"camel",76,"cheetah",63,53.076923076923,268637,3489,"sell","NULL",TRUE,1,-14.5,59,2.7616,2.7333,TRUE,FALSE,0.405997934845247,0.572092890303906,0.575372611780864,-2.97625007343814,0.714622539776634,28.5635144223324
"13",70,"yedbsv8m",0,12,11,"camel",236,"leopard",61,53.642857142857,271437,2798,"sell","NULL",TRUE,2,-14.5,63,2.1104,3.0322,TRUE,FALSE,0.506314061698375,0.605542065288216,0.492816243246181,-2.97625007343814,0.979299142269837,32.5635144223323
"14",71,"yedbsv8m",0,13,11,"camel",306,"panther",51,53.466666666667,274470,3031,"sell","NULL",TRUE,3,-14.5,61,2.549,3.6012,TRUE,FALSE,0.59919228822867,0.662871111119308,0.550105999347593,-2.97625007343814,0.846960841023236,30.5635144223324
"15",72,"yedbsv8m",0,14,11,"camel",213,"jaguar",63,54.0625,277083,2611,"sell","NULL",TRUE,4,-14.5,51,2.2226,3.1865,TRUE,FALSE,0.685659848475073,0.621851095544312,0.508206402759143,-2.97625007343814,0.185269334790229,20.5635144223324
"16",74,"yedbsv8m",0,15,11,"camel",337,"puma",56,54.176470588235,324810,6099,"sell","NULL",TRUE,5,-14.5,63,3.3845,4.0228,TRUE,FALSE,0.76654484926435,0.700945885580284,0.641920074413118,-2.97625007343814,0.979299142269837,32.5635144223323
"17",75,"yedbsv8m",0,16,11,"camel",30,"bison",42,53.5,329125,4314,"sell","NULL",TRUE,6,-14.5,56,6.0515,5.6268,TRUE,FALSE,0.842524628426308,0.821303863573278,0.848281510243934,-2.97625007343814,0.516115087906732,25.5635144223324
"18",77,"yedbsv8m",0,17,11,"camel",98,"cow",31,52.315789473684,342890,1860,"sell","NULL",TRUE,7,-14.5,42,5.2946,5.5009,TRUE,FALSE,0.914160269700193,0.81297348556229,0.798968137412551,-2.97625007343814,-0.410253020819477,11.5635144223324
"19",78,"yedbsv8m",0,18,11,"camel",44,"buffalo",43,51.85,346117,3225,"sell","NULL",TRUE,8,-14.5,31,4.1269,4.2541,TRUE,FALSE,0.981921773342309,0.720498334349347,0.70985484662477,-2.97625007343814,-1.13811367767578,0.56351442233235
"20",79,"yedbsv8m",0,19,11,"camel",447,"wolf",34,51,349738,3620,"sell","NULL",TRUE,9,-14.5,43,4.749,5.6667,TRUE,FALSE,1.04620676289418,0.8239109124113,0.759592308645975,-2.97625007343814,-0.344083870196176,12.5635144223324
"21",81,"yedbsv8m",0,20,11,"camel",248,"lynx",40,50.5,357439,1963,"sell","NULL",TRUE,10,-14.5,34,3.332,5.6087,TRUE,FALSE,1.10735462308362,0.82011603764714,0.636688447953283,-2.97625007343814,-0.939606225805883,3.56351442233235
"22",82,"yedbsv8m",1,0,7,"bird",69,"cat",55,47,363075,2594,"sell","NULL",TRUE,-10,-13.5,39,6.7027,6.7027,TRUE,FALSE,-2.70829214783185,0.88664298355746,0.88664298355746,-2.14728084729436,-0.608760472689379,8.56351442233235
"23",83,"yedbsv8m",1,1,7,"bird",118,"dog",53,49,365551,2475,"sell","NULL",TRUE,-9,-13.5,55,2.0943,2.0943,TRUE,FALSE,-1.8395828985578,0.490562417323426,0.490562417323426,-2.14728084729436,0.449945937283432,24.5635144223324
