"","X","subjectID","feedback","score","variation","variationR","bonus","scoreh1","scoreh2","diff","variationh1","variationh2","variationRh1","variationRh2","variationT","variationTh1","variationTh2","variationTm","variationTmh1","variationTmh2","av_distance","av_distance_prev","reclicks","HVclicks","Novclicks"
"1",1,"yedbsv8m","Very fun, I enjoyed it.",52.6863636363636,115,87,1.21490909090909,51.5515151515152,53.8212121212121,2.26969696969686,67,55,66,54,103,47,91,9.13333333333333,9.6,8.66666666666667,2.26186952380952,2.55470238095238,339,335,291
"2",2,"tfo25hg6",NA,48.2212121212121,73,40,0.857696969696968,47.3515151515151,49.0909090909091,1.73939393939393,37,24,36,23,51,34,36,4.5,5.46666666666667,3.53333333333333,1.09669285714286,1.10342603174603,481,479,149
"3",3,"qteoc9yq","I do not have any comments, questions, or remarks to share about this experiment.",44.3090909090909,129,100,0.544727272727271,42.2060606060606,46.4121212121212,4.2060606060606,95,62,94,61,118,53,113,14.3666666666667,16.1333333333333,12.6,3.43784634920635,3.51362825396825,190,180,440
"4",4,"2afofhvb","No",49.5227272727273,41,28,0.961818181818186,51.0909090909092,47.9545454545455,-3.13636363636373,23,15,22,14,28,11,24,2.33333333333333,2.6,2.06666666666667,0.47865,0.491732222222222,574,574,56
"5",5,"stuh07oj","No comments",38.7818181818182,64,40,0.102545454545455,38.1272727272728,39.4363636363636,1.30909090909078,27,19,26,18,45,18,35,1.8,2,1.6,0.957232698412698,0.443395079365079,582,511,48
"6",6,"tjcjjebm","I enjoyed this survey because I've never taken one like it, but I will say the process was kind of tedious after a while. It would have been easier to have buttons to push for different animals vs having to type the words out and guess the animals available in the study. However, that is more of a personal preference.",51.4909090909091,37,29,1.11927272727273,53.1272727272727,49.8545454545455,-3.2727272727272,16,28,15,27,32,13,32,3.8,4.6,3,0.963884285714286,1.16730873015873,519,518,111
"7",7,"tjuse8lf","My only suggestion is to consider maybe adding animals as clickable buttons after they are typed out once. It was really difficult typing some animals over and over and over again. I don't know if that was meant to be part of the experiment, but if not, I would consider a feature like that for future versions.",50.4348484848484,88,61,1.03478787878787,49.6818181818181,51.1878787878787,1.50606060606066,51,41,50,40,76,29,69,7.43333333333333,8.26666666666667,6.6,1.57607253968254,1.9555753968254,409,407,221
"8",8,"q657w3bx","n/a",52.4287878787878,113,82,1.19430303030302,47.5454545454545,57.3121212121211,9.76666666666653,63,57,62,56,103,46,96,8.63333333333333,9.46666666666667,7.8,1.78577793650794,2.27443095238095,365,365,265
"9",9,"vycl1zhc","none
",50.2833333333332,47,35,1.02266666666666,48.5484848484848,52.0181818181817,3.46969696969687,33,22,32,21,38,17,34,4.46666666666667,5.2,3.73333333333333,0.94072,1.13662714285714,496,496,134
"10",10,"6t3jr83m","no comments at this time everything went great",52.3818181818182,116,84,1.19054545454545,51.1545454545455,53.6090909090909,2.4545454545454,68,51,67,50,107,41,95,7.1,6.8,7.4,1.75366412698413,2.27233555555556,412,386,218
"11",11,"x3suumw2","The experiment is insightful, educative, and very significant. Addition of more animals in the context of the experiment would be a great improvement. The instructions were very concise and clear.",44.9712121212121,118,81,0.59769696969697,45.9393939393939,44.0030303030304,-1.93636363636347,72,68,71,67,102,58,93,16.4333333333333,17.4,15.4666666666667,4.17366650793651,4.4750353968254,119,82,511
"12",12,"0lvykqjq","na",50.3000000000001,26,16,1.02400000000001,48.3575757575759,52.2424242424243,3.88484848484847,8,16,7,15,16,7,16,5.2,4.06666666666667,6.33333333333333,1.74507111111111,1.90282857142857,478,471,152
"13",13,"z0cycwmr","pay more for the time it takes",45.8242424242424,161,105,0.665939393939392,43.9636363636363,47.6848484848485,3.72121212121213,91,62,90,61,141,43,127,7,7.73333333333333,6.26666666666667,1.45581349206349,1.83499936507937,416,414,214
"14",14,"t1cuv6ul","I think this was a very fun experiment to participate in. Everything went smoothly and I have no complaints or thoughts on how it could be improved, but thank you and have an incredible day!",46.4333333333333,149,117,0.714666666666666,45.6575757575757,47.2090909090909,1.5515151515152,104,56,103,55,140,57,126,8.2,11.3333333333333,5.06666666666667,1.66703206349206,1.92187746031746,376,373,254
"15",15,"9x82tfkx","This was an entertaining experience! Worked really well for me.",52.2878787878788,84,66,1.1830303030303,54.8939393939394,49.6818181818182,-5.2121212121212,37,60,36,59,75,23,74,7.73333333333333,6.93333333333333,8.53333333333333,1.72277158730159,2.01499603174603,403,401,227
"16",16,"3lreml0m","I have no additional comments to add. I didn't experience any issues while taking this study.",50.2318181818181,145,93,1.01854545454545,49.2333333333333,51.230303030303,1.99696969696974,85,57,84,56,115,53,104,11.7333333333333,14.8,8.66666666666667,2.75669301587302,2.85531634920635,262,262,368
"17",17,"jwdsedgu","More animal options to choose from like bear for example",40.6818181818182,97,70,0.254545454545456,39.0333333333334,42.330303030303,3.2969696969696,68,54,67,53,89,58,82,18.6333333333333,20.2,17.0666666666667,5.14467746031746,4.78959396825397,55,16,575
"18",18,"su6jufgg","If the characters repeat, make their difference more obvious (colors for example)",51.6818181818181,107,67,1.13454545454545,47.8363636363636,55.5272727272727,7.69090909090907,53,46,52,45,75,39,60,5.96666666666667,5.93333333333333,6,1.33565650793651,1.60436238095238,447,447,183
"19",19,"b95mng52","Duck and Bears should be included in the study.",48.3787878787878,66,51,0.870303030303027,45.7484848484847,51.0090909090909,5.2606060606062,44,42,43,41,58,27,51,4.5,4.73333333333333,4.26666666666667,0.841219206349206,1.04247634920635,504,503,126
"20",20,"wy58v2u3","n/a",51.35,38,18,1.108,50.8484848484848,51.8515151515151,1.00303030303034,13,17,12,16,20,12,18,4.63333333333333,4.4,4.86666666666667,1.25337031746032,1.46839777777778,494,493,136
"21",21,"eyjl6nlh","The experiment was good and engaging",49.9333333333332,51,24,0.994666666666659,48.9060606060605,50.9606060606059,2.0545454545454,21,21,20,20,30,16,27,6.96666666666667,6.6,7.33333333333333,2.18422111111111,2.8093853968254,436,385,194
"22",22,"je972k7f","no comment
",38.4439393939394,121,64,0.0755151515151522,38.6727272727273,38.2151515151515,-0.457575757575732,58,48,57,47,85,44,78,18.3333333333333,19.4,17.2666666666667,5.08769015873016,4.73783095238095,71,16,559
"23",23,"y3c7wgge","n/a",49.7621212121213,121,60,0.980969696969707,48.7666666666668,50.7575757575759,1.99090909090906,57,31,56,30,75,46,69,8.56666666666667,11.0666666666667,6.06666666666667,2.41133365079365,2.89190412698413,356,315,274
"24",24,"13b88a7t","no",45.069696969697,120,82,0.605575757575757,41.9242424242424,48.2151515151515,6.29090909090913,43,54,42,53,101,27,84,3.86666666666667,3.93333333333333,3.8,0.72499253968254,1.28706523809524,531,506,99
"25",25,"tvfjsmy7","no comments - fun experiment!",50.2181818181818,109,60,1.01745454545455,53.7757575757575,46.6606060606061,-7.1151515151514,45,54,44,53,84,34,81,9.5,9.6,9.4,2.20810698412698,2.76663492063492,350,325,280
"26",26,"3kzm2l3d","The instructions were very clear and no issues were encountered during the 
experiment.",49.6666666666667,42,34,0.973333333333333,47.6484848484847,51.6848484848486,4.03636363636387,23,22,22,21,36,17,30,3.53333333333333,4.73333333333333,2.33333333333333,0.923499523809524,1.05064428571429,525,520,105
"27",27,"telhn8yv","no problems",50.9181818181818,29,20,1.07345454545455,48.7818181818181,53.0545454545455,4.2727272727274,12,18,11,17,25,9,24,3.9,3.6,4.2,0.970841587301587,1.31488396825397,521,519,109
"28",28,"o4ft3bcn","no",48.8666666666666,123,89,0.909333333333331,47.1121212121212,50.6212121212121,3.50909090909087,74,56,73,55,99,39,86,5.7,6.13333333333333,5.26666666666667,0.987052222222222,1.52656412698413,462,450,168
"29",29,"kkmo4vcy","N/A",47.769696969697,167,95,0.821575757575758,44.6818181818182,50.8575757575757,6.17575757575754,82,60,81,59,122,49,108,7.13333333333333,9,5.26666666666667,1.49407238095238,1.90285841269841,403,400,227
"30",30,"5arrkqh8","Fun Study",50.4621212121212,154,108,1.03696969696969,48.6515151515151,52.2727272727272,3.62121212121207,89,62,88,61,140,42,130,7.93333333333333,8.6,7.26666666666667,1.73073095238095,2.23274650793651,391,385,239
"31",31,"0u4udut6","I am not sure if it was intentional but the only time I saw a character with a Muslim garb they said human as their favorite animal. If this was unintentional, I think you should remove that. Its wrong. I was enjoying myself up until that part, but you left a bad impression in my mind, leaving me wondering if this was intentional or not.",51.3651515151515,102,73,1.10921212121212,50.4484848484848,52.2818181818183,1.83333333333347,67,41,66,40,90,39,77,11.4,13.5333333333333,9.26666666666667,2.75430126984127,3.44440349206349,285,280,345
"32",32,"zt8zaosl","Nope, thank you! ",48.1363636363636,61,47,0.850909090909086,50.0363636363636,46.2363636363635,-3.80000000000007,35,23,34,22,49,20,41,2.26666666666667,2.73333333333333,1.8,0.498575079365079,0.630849365079365,565,560,65
"33",33,"1qchwhpj","this was really long and repetitive ",44.0090909090909,139,104,0.520727272727272,46.7060606060606,41.3121212121212,-5.3939393939394,81,89,80,88,121,39,119,15.1666666666667,14.5333333333333,15.8,4.24099857142857,4.3861326984127,159,98,471
"34",34,"sjogef5y","none
",44.3242424242425,128,59,0.545939393939403,43.8878787878789,44.7606060606061,0.872727272727204,49,29,48,28,76,26,66,3.76666666666667,4.8,2.73333333333333,0.754224603174603,0.855930952380952,521,509,109
"35",35,"50vl9ejg","It was fun and enjoyable.",47.7030303030303,66,45,0.816242424242422,45.8151515151515,49.590909090909,3.77575757575747,37,38,36,37,50,29,47,7.1,7.73333333333333,6.46666666666667,1.81495873015873,2.36324492063492,418,377,212
"36",36,"09xteqjn","N/A",49.8848484848485,93,76,0.99078787878788,47.9363636363637,51.8333333333333,3.89696969696953,61,59,60,58,92,33,88,6.73333333333333,6.73333333333333,6.73333333333333,1.3979519047619,1.71967158730159,428,426,202
"37",37,"r4pendb6","I have none at the moment please.",41.2621212121212,77,51,0.300969696969696,43.2424242424243,39.2818181818181,-3.96060606060613,42,46,41,45,63,35,61,14.2,14.9333333333333,13.4666666666667,4.50786523809524,4.99012253968254,206,114,424
"38",38,"vo0jdo2s","POSITIVE",44.8772727272727,88,50,0.590181818181813,45.7666666666666,43.9878787878787,-1.77878787878787,32,36,31,35,61,24,52,2.83333333333333,2.8,2.86666666666667,0.496711111111111,0.641146349206349,546,544,84
"39",39,"49te4nmn","N/A",50.8378787878788,50,19,1.0670303030303,49.6454545454545,52.0303030303031,2.38484848484853,16,18,15,17,20,14,20,7.46666666666667,7.73333333333333,7.2,2.35602714285714,2.57707888888889,408,402,222
"40",40,"hsac5l5n","Thank you for the opportunity! That was fun.",48.0424242424243,95,59,0.843393939393942,45.5303030303031,50.5545454545455,5.0242424242424,52,33,51,32,81,24,75,5.13333333333333,6.06666666666667,4.2,1.1592573015873,1.45496825396825,479,467,151
"41",41,"px4hz1np","no",49.5121212121212,119,86,0.960969696969693,49.9515151515151,49.0727272727272,-0.878787878787939,76,42,75,41,107,42,87,6.86666666666667,7.66666666666667,6.06666666666667,1.39739920634921,1.86686349206349,421,418,209
"42",42,"xq1002d0","The amount of typing required made me move to prefer copy and paste tech.",51.9439393939393,82,60,1.15551515151514,50.3181818181818,53.5696969696968,3.251515151515,58,18,57,17,72,36,58,4.53333333333333,6.4,2.66666666666667,1.22557285714286,1.24428873015873,479,476,151
"43",43,"891hh3ok","
The study was engaging and fun.",49.6454545454546,63,44,0.971636363636365,47.0333333333334,52.2575757575757,5.22424242424233,40,32,39,31,51,31,47,8.6,9.33333333333333,7.86666666666667,2.43226206349206,2.69459063492063,365,347,265
"44",44,"227kvvc9","N/A",51.9272727272728,105,73,1.15418181818182,53.4636363636364,50.3909090909091,-3.07272727272727,64,59,63,58,94,53,88,11,11.9333333333333,10.0666666666667,2.56274777777778,3.07127301587302,289,274,341
"45",45,"u5czu3x2","i liked it it was good
",47.3333333333334,54,24,0.786666666666669,48.5060606060607,46.160606060606,-2.34545454545474,18,17,17,16,32,10,30,2.7,3.46666666666667,1.93333333333333,0.70000746031746,0.900536825396825,561,550,69
"46",46,"pvy2ct6j","None! It was a bit long but that is as described. ",50.2454545454545,98,67,1.01963636363636,49.0969696969697,51.3939393939394,2.29696969696973,64,27,63,26,78,35,65,8,9.13333333333333,6.86666666666667,2.45396206349206,2.36730301587302,386,309,244
"47",47,"ho4clsx6","I liked it and enjoyed it
",51.489393939394,37,22,1.11915151515152,51.9727272727273,51.0060606060607,-0.966666666666605,15,17,14,16,23,9,21,2.8,2.6,3,0.79701619047619,0.973980317460317,554,537,76
"48",48,"sr6lsekj","Interesting study. Long but fun.",45.3409090909092,145,113,0.627272727272736,40.539393939394,50.1424242424244,9.60303030303039,78,86,77,85,133,52,129,15,15.6,14.4,3.62122444444444,4.20498507936508,175,93,455
"49",49,"oxycjd7q","There seemed to be a good deal of animals that were not available. The ones that came to mind were mouse,bear,sloth,vulcher. It was also not clear when to use a generic name versus a more specific name (i.e., dog versus husky, bird versus crow). I also was not sure if two word animal names were not allowed or if they should be combined with a dash or some other scheme (i.e., blue jay -> bluejay/blue-jay). It was pretty easy to work around the uncertainties, but I think I could have scored higher with a more technical description of the name rules. Anyways, good job with the game. It felt pretty original and kept my attention well. Good luck with the research!",52.6409090909091,116,85,1.21127272727273,50.7727272727272,54.509090909091,3.7363636363638,62,67,61,66,103,41,98,8.96666666666667,10.2666666666667,7.66666666666667,1.96701746031746,2.3581326984127,350,350,280
