"","X","subjectID","l_fit","beta","tau","phi","block_nr","trial_nr","initial_opened","selected_choice","reward","average_reward","initial_opened_value","selected_choice_value","type","rewarded","trial_nr_c","block_nr_c","animal_opened","animal","prev_reward","distance_prev","distance","new_click","HV_click","logtrial","logdistance","logdistance_prev","loground","prev_reward_c","rres"
"1",1,1,5.96469508304929,0.0067379469990854,0.0231301493155971,0.0369432021423734,0,0,375,118,15.6552402819981,23.0277081922236,"shrimp","dog","sell",TRUE,-10,-14.5,"shrimp","dog",30.4001761024491,9.7943,9.7943,TRUE,FALSE,-2.70830574054639,1.03319448400287,1.03319448400287,-2.97626501101335,-1.26308315837181,-4.79314220204004
"2",2,1,5.96469508304929,0.0067379469990854,0.0231301493155971,0.0369432021423734,0,1,375,169,51.5836627979465,32.5463597274646,"shrimp","goose","sell",TRUE,-9,-14.5,"shrimp","goose",15.6552402819981,7.6715,7.047,TRUE,FALSE,-1.83959213128597,0.905634001326955,0.938094228430797,-2.97626501101335,-2.1943342007401,-19.5380780224911
"3",3,1,5.96469508304929,0.0067379469990854,0.0231301493155971,0.0369432021423734,0,2,375,370,52.3833317990227,37.5056027453541,"shrimp","sheep","sell",TRUE,-8,-14.5,"shrimp","sheep",51.5836627979465,5.7559,5.7559,TRUE,FALSE,-1.3314272460025,0.829683212573097,0.829683212573097,-2.97626501101335,0.0748096820172078,16.3903444934574
"4",4,1,5.96469508304929,0.0067379469990854,0.0231301493155971,0.0369432021423734,0,3,375,370,52.9870150242941,40.6018852011421,"shrimp","sheep","sell",TRUE,-7,-14.5,"shrimp","sheep",52.3833317990227,0,0,FALSE,TRUE,-0.970878522025556,0,0,-2.97626501101335,0.125314655376869,17.1900134945335
"5",5,1,5.96469508304929,0.0067379469990854,0.0231301493155971,0.0369432021423734,0,4,375,370,51.790441774717,42.4666446300713,"shrimp","sheep","sell",TRUE,-6,-14.5,"shrimp","sheep",52.9870150242941,0,0,FALSE,TRUE,-0.691215204793625,0,0,-2.97626501101335,0.163441686897377,17.7936967198049
"6",6,1,5.96469508304929,0.0067379469990854,0.0231301493155971,0.0369432021423734,0,5,375,370,51.9577257017138,43.8225133545916,"shrimp","sheep","sell",TRUE,-5,-14.5,"shrimp","sheep",51.790441774717,0,0,FALSE,TRUE,-0.46271363674208,0,0,-2.97626501101335,0.0878692938054316,16.5971234702278
"7",7,1,5.96469508304929,0.0067379469990854,0.0231301493155971,0.0369432021423734,0,6,375,200,6.88241488081367,39.2050010453694,"shrimp","human","sell",TRUE,-4,-14.5,"shrimp","human",51.9577257017138,6.5959,6.5959,TRUE,FALSE,-0.269518313730731,0.880579238617104,0.880579238617104,-2.97626501101335,0.0984345029921083,16.7644073972246
"8",8,1,5.96469508304929,0.0067379469990854,0.0231301493155971,0.0369432021423734,0,7,375,370,52.6168139890662,40.6952024835579,"shrimp","sheep","sell",TRUE,-3,-14.5,"shrimp","sheep",6.88241488081367,6.5959,0,FALSE,TRUE,-0.102164912765138,0,0.880579238617104,-2.97626501101335,-2.74840258725942,-28.3109034236755
"9",9,1,5.96469508304929,0.0067379469990854,0.0231301493155971,0.0369432021423734,0,8,375,370,52.4673787524604,41.8724201104482,"shrimp","sheep","sell",TRUE,-2,-14.5,"shrimp","sheep",52.6168139890662,0,0,FALSE,TRUE,0.0454512485413952,0,0,-2.97626501101335,0.140060771297625,17.4234956845771
"10",10,1,5.96469508304929,0.0067379469990854,0.0231301493155971,0.0369432021423734,0,9,375,370,52.3616572101629,42.8259871195132,"shrimp","sheep","sell",TRUE,-1,-14.5,"shrimp","sheep",52.4673787524604,0,0,FALSE,TRUE,0.177498404466793,0,0,-2.97626501101335,0.130622838060726,17.2740604479712
