"","X","subjectID","score","av_distance","av_distance_prev","reclicks","HVclicks","Novclicks"
"1",1,1,52.6863636363636,1.57630619047619,1.82331222222222,466,457,164
"2",2,2,48.2212121212121,0.609007301587302,0.634939206349206,568,568,62
"3",3,3,44.3090909090909,0.770220793650794,0.76048,531,531,99
"4",4,4,49.5227272727273,3.82794031746032,3.72360603174603,190,181,440
"5",5,5,38.7818181818182,2.05817793650794,2.27642698412698,405,402,225
"6",6,6,51.4909090909091,3.36302492063492,3.77680206349206,280,252,350
"7",7,7,50.4348484848484,2.19942825396825,2.40196571428571,403,391,227
"8",8,8,52.4287878787878,2.92225714285714,2.98792111111111,312,302,318
"9",9,9,50.2833333333332,3.2894826984127,3.60428746031746,280,255,350
"10",10,10,52.3818181818182,2.32734222222222,2.55109507936508,374,358,256
"11",11,11,44.9712121212121,3.28118650793651,3.3319780952381,268,263,362
"12",12,12,50.3000000000001,1.67538507936508,1.90903476190476,451,434,179
"13",13,13,45.8242424242424,1.31618920634921,1.46111428571429,481,477,149
"14",14,14,46.4333333333333,2.58781015873016,2.80861396825397,341,334,289
"15",15,15,52.2878787878788,1.76352317460317,1.88738492063492,455,437,175
"16",16,16,50.2318181818181,1.03590031746032,1.15869571428571,516,514,114
"17",17,17,40.6818181818182,0.790832857142857,0.85977253968254,548,546,82
"18",18,18,51.6818181818181,1.42181634920635,1.54471444444444,477,471,153
"19",19,19,48.3787878787878,1.83341333333333,1.99092412698413,416,406,214
"20",20,20,51.35,1.67752253968254,1.82315873015873,460,441,170
"21",21,21,49.9333333333332,1.01773619047619,0.982807936507937,532,521,98
"22",22,22,38.4439393939394,5.19421936507937,5.7031180952381,106,61,524
"23",23,23,49.7621212121213,1.6021553968254,1.79241746031746,448,443,182
"24",24,24,45.069696969697,5.7922446031746,6.28234698412698,58,11,572
"25",25,25,50.2181818181818,2.67911285714286,2.81793,331,307,299
"26",26,26,49.6666666666667,4.37723761904762,4.10164793650794,140,133,490
"27",27,27,50.9181818181818,2.0053953968254,2.18571317460317,409,400,221
"28",28,28,48.8666666666666,3.12588841269841,3.2575919047619,354,296,276
"29",29,29,47.769696969697,1.78481873015873,1.75882634920635,445,428,185
"30",30,30,50.4621212121212,2.82278158730159,3.13748555555556,334,319,296
"31",31,31,51.3651515151515,1.74183111111111,1.83955396825397,458,437,172
"32",32,32,48.1363636363636,2.95427095238095,2.93959793650794,324,312,306
"33",33,33,44.0090909090909,2.57993825396825,2.7250746031746,362,344,268
"34",34,34,44.3242424242425,2.98295063492063,3.07081904761905,353,314,277
"35",35,35,47.7030303030303,1.23588603174603,1.29608555555556,504,482,126
"36",36,36,49.8848484848485,1.08860079365079,1.00756920634921,497,497,133
"37",37,37,41.2621212121212,3.91077555555556,3.75108142857143,175,173,455
"38",38,38,44.8772727272727,1.90091126984127,1.99741666666667,445,423,185
"39",39,39,50.8378787878788,1.16469174603175,1.33855380952381,508,503,122
"40",40,40,48.0424242424243,4.79876111111111,4.72406603174603,118,98,512
"41",41,41,49.5121212121212,5.4513580952381,5.15820095238095,11,4,619
"42",42,42,51.9439393939393,2.1997580952381,2.40787952380952,388,381,242
"43",43,43,49.6454545454546,1.4316226984127,1.63270523809524,469,468,161
"44",44,44,51.9272727272728,1.9788019047619,2.04821079365079,435,413,195
"45",45,45,47.3333333333334,1.06838841269841,1.16463126984127,520,507,110
"46",46,46,50.2454545454545,0.710726031746032,0.742467936507937,552,552,78
"47",47,47,51.489393939394,5.43801920634921,5.01451476190476,59,40,571
"48",48,48,45.3409090909092,5.62439095238095,5.33147174603175,19,8,611
"49",49,49,52.6409090909091,3.06351158730159,3.33302793650794,323,300,307
"50",50,50,NA,1.61289333333333,1.67220793650794,465,437,165
"51",51,51,NA,0.886314920634921,1.00488492063492,538,538,92
"52",52,52,NA,2.58356301587302,2.79289873015873,350,350,280
"53",53,53,NA,5.4703073015873,5.73810349206349,85,45,545
"54",54,54,NA,1.81537492063492,1.88392936507937,434,430,196
"55",55,55,NA,1.95515666666667,2.11349650793651,415,410,215
"56",56,56,NA,1.21055523809524,1.3554346031746,499,496,131
"57",57,57,NA,2.16386904761905,2.24617031746032,405,383,225
"58",58,58,NA,3.13527761904762,3.37767761904762,272,266,358
"59",59,59,NA,2.51909746031746,2.54239365079365,382,347,248
"60",60,60,NA,1.97496968253968,2.11163253968254,412,401,218
"61",61,61,NA,1.10501428571429,1.25618158730159,508,495,122
"62",62,62,NA,3.03924666666667,3.2983973015873,299,275,331
"63",63,63,NA,2.0787119047619,2.19544761904762,411,394,219
"64",64,64,NA,2.00688396825397,2.15863666666667,403,397,227
"65",65,65,NA,2.07198619047619,2.05491317460317,410,403,220
"66",66,66,NA,1.46408047619048,1.63309158730159,470,467,160
"67",67,67,NA,4.66298507936508,4.62694507936508,129,114,501
"68",68,68,NA,3.47020333333333,3.56992174603175,316,273,314
"69",69,69,NA,4.20929285714286,4.30361222222222,211,176,419
"70",70,70,NA,3.9307819047619,3.95049650793651,199,177,431
"71",71,71,NA,2.6737773015873,2.95200714285714,332,314,298
