"","X","subjectID","score","variation","variationR","bonus","av_distance","av_distance_prev","reclicks","HVclicks","Novclicks","trials","slope_score","slope_novel","slope_dprev","slope_dhv","slope_dprew"
"1",1,"hhhockrt",46.6772727272727,75,61,0.44050909090909,3.15256238095238,3.18880952380952,84,83,126,210,0.94453430192793,-0.399563460718586,-0.257897087733997,-0.22866741173647,-0.886800197710777
"2",2,"nq6nfgd1",37.9590909090909,57,41,0.0220363636363632,2.82401428571429,4.09851904761905,163,57,47,210,1.05300895109339,-0.35538988879528,-0.279091235771978,-0.278746987479572,-1.66427079269008
"3",3,"y3nzs4ud",54.7590909090909,69,55,0.828436363636363,2.76547380952381,2.85958238095238,94,82,116,210,0.533605798234085,-0.178954396959223,-0.140681031277875,-0.118016125017591,-0.904616192987182
"4",4,"2f18hawm",52.3863636363637,54,39,0.714545454545458,2.6037319047619,2.74255380952381,106,106,104,210,0.0615107167225095,-0.233731896241979,-0.00994433229957709,-0.0484425846467114,-0.43117632121698
"5",5,"sfbdt8n9",50.1090909090908,60,50,0.605236363636358,2.06187,2.71052476190476,115,113,95,210,0.202250222694884,0.007696325689589,-0.00373872327945313,-0.00111324809810323,-0.492177199814119
"6",6,"xove9k48",55.9727272727272,45,39,0.886690909090906,1.05293761904762,1.28991619047619,156,156,54,210,0.892377376647827,-0.320522910901666,-0.277452944999396,-0.261448727151475,-1.34232468098939
"7",7,"y8dydnnh",39.5590909090908,98,75,0.0988363636363583,4.61452428571429,4.08547476190476,11,4,199,210,0.756813434882321,-0.382194150169731,-0.233201303328287,-0.231258437667829,-0.584915765156325
"8",8,"6xlyhhqs",51.5772727272727,46,31,0.675709090909089,2.13798,2.68536285714286,126,125,84,210,0.206696302917046,-0.528944951999871,-0.0543148134843744,-0.0482480549787422,-0.592771566196029
"9",9,"00rzqb1d",46.9181818181819,45,36,0.452072727272731,1.36594,1.54095428571429,156,149,54,210,0.707589696260811,-0.193123100183894,-0.124529929625393,-0.144611743147161,-1.00994763735332
"10",10,"7ewwuwva",50.709090909091,21,17,0.634036363636368,1.68125333333333,2.1022680952381,152,145,58,210,1.09189811023555,-0.34578572529423,-0.297540156670086,-0.305934112316996,-1.12637692216636
"11",11,"hmh1ucnb",47.1136363636362,94,69,0.461454545454537,1.65998047619048,2.58698142857143,115,111,95,210,0.711226762458189,-0.528641218018299,-0.306846380360201,-0.281664175292017,-1.26831793987284
"12",12,"oo6hmrca",49.9272727272726,31,25,0.596509090909085,0.62438619047619,0.943238571428571,182,175,28,210,0.542741965317912,-0.0839846207211306,-0.0710103318318902,-0.0941933608515365,-1.31233490614038
"13",13,"rxmy5fgo",47.1363636363636,32,20,0.462545454545453,1.18677380952381,1.35925333333333,171,157,39,210,0.307469351679801,-0.181500626632546,-0.00688647715717203,-0.05804370690225,-0.374788893813043
"14",14,"vffduu0s",47.6772727272727,40,32,0.488509090909089,1.58334761904762,2.14647952380952,143,140,67,210,1.07912555009212,-0.245627793082385,-0.189202604803023,-0.226020346615166,-1.42171185073432
"15",15,"9jehfmot",45.9136363636362,40,31,0.403854545454538,1.10884857142857,1.8423280952381,164,151,46,210,0.231212582325619,-0.321976075542561,-0.139519643708634,-0.114224725711678,-0.684215363378669
